"PC1" "PC2" "PC3" "Population" "Superpopulation"
"HG00693" -93.1890191698394 -114.210347662196 8.34164256638491 "CHS" "EAS"
"HG00698" -92.0569639217572 -114.473421756538 8.20118448353625 "CHS" "EAS"
"HG00699" -92.2153680592722 -115.892656211923 6.68485438756376 "CHS" "EAS"
"HG00701" -92.3723177190898 -113.556242230085 9.02655276852596 "CHS" "EAS"
"HG00704" -91.8744589934021 -114.135382851091 9.93581202143947 "CHS" "EAS"
"HG00705" -92.2533281200986 -114.42871811683 7.95090575080784 "CHS" "EAS"
"HG00707" -93.3528227127779 -113.504327890719 8.21234888272161 "CHS" "EAS"
"HG00708" -92.0123134304165 -114.56753858461 7.70766767273167 "CHS" "EAS"
"HG00717" -91.3828821056717 -114.590407043339 9.43697435072337 "CHS" "EAS"
"HG00728" -92.5537387573854 -113.427287915877 8.15143930852311 "CHS" "EAS"
"HG00729" -92.4323458376398 -114.819486439636 6.57952119067899 "CHS" "EAS"
"HG00731" -36.2504816584129 80.9144868379832 27.2022191704367 "PUR" "AMR"
"HG00732" -31.103334829047 73.0753428123874 28.8493254459758 "PUR" "AMR"
"HG00734" -24.6714890643655 58.0650376435626 35.7278023961282 "PUR" "AMR"
"HG00736" -29.583783506313 74.6738416846106 28.4785948733765 "PUR" "AMR"
"HG00737" -26.200905505513 73.67419437431 28.3061896361914 "PUR" "AMR"
"HG00739" -30.6853768224886 83.4612108823951 23.4301772105696 "PUR" "AMR"
"HG00740" -20.2403464961716 62.8028406775192 32.4374516437116 "PUR" "AMR"
"HG00742" -27.4427091923317 82.8911499936512 23.9940843947051 "PUR" "AMR"
"HG00743" -28.2962601129881 55.5647423777748 38.3428375379012 "PUR" "AMR"
"HG00759" -91.7686345340825 -111.531873501708 3.17029137844742 "CDX" "EAS"
"HG00766" -90.2702178356061 -111.17445765223 4.56284689023748 "CDX" "EAS"
"HG00844" -90.0668732395508 -112.776500079441 4.06817712695941 "CDX" "EAS"
"HG00851" -91.1911701023503 -113.613476973267 4.48862010762786 "CDX" "EAS"
"HG00864" -90.7702667086087 -110.599216448252 2.59470339104983 "CDX" "EAS"
"HG00867" -89.8878886138593 -114.138382855084 5.42225838165501 "CDX" "EAS"
"HG00879" -90.5282420715718 -112.85590563936 1.93023036582443 "CDX" "EAS"
"HG00881" -91.1072308915562 -112.843407046362 1.8457888568225 "CDX" "EAS"
"HG00956" -89.6691923619902 -109.98642122406 3.4875044086633 "CDX" "EAS"
